"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"165",4.9895186981489,"1307","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"166",4.2122149224734,"2025","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"167",6.41986749038629,"1744","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"168",7.49015699823254,"2019","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"169",7.56207110297478,"1303","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"170",0.375486120445564,"1475","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"171",6.23944129332545,"1239","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"172",4.12710082797557,"2534","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"173",8.19385803065093,"2756","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"174",-6.86489291171664,"1256","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"175",7.56029301454046,"1565","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"176",3.53328044790304,"1294","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"177",6.88318675112752,"1738","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"178",6.67252986073991,"1710","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"179",5.76403900980455,"1418","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"180",2.64751060585855,"1262","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"181",-7.89045535493622,"2058","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"182",-1.72407086348076,"1713","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"183",2.1241730083506,"2878","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"184",-2.44832297991205,"1240","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"185",-0.701563711228048,"2076","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"186",-8.29610162593119,"1232","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"187",1.14955416786614,"2981","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"188",-7.42454422661172,"1751","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"189",0.426120609202456,"1098","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"190",-2.19351403867091,"1580","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"191",-6.52094138994316,"1268","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"192",-8.30296158329894,"1168","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"193",-6.80628288723654,"2409","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"194",-4.38955569280786,"1594","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"195",-7.99118896335655,"1605","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"196",-7.98625020184282,"2001","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"197",-8.19287404008164,"1269","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"198",-6.77390607317554,"1702","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"199",7.46685467511254,"1421","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"200",-2.77013370759897,"1599","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"201",6.95603875263499,"1640","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"202",6.23044605925945,"2744","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"203",1.27829097689129,"2022","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"204",7.14156508922752,"1753","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"205",7.53443609455246,"1052","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"206",8.11163550614109,"2996","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"207",2.71610224117214,"1625","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"208",7.88618334609451,"2210","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"209",2.60154907569044,"1210","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"210",5.80606344841396,"1558","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"211",1.44128000112469,"1427","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"212",4.29516217394549,"1076","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"213",4.22136377276124,"1604","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"214",3.34148392489423,"1633","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"215",1.73850032003686,"1161","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"216",-3.49517624961939,"2413","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
